code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
07029,"Egg, chicken, yolk, boiled (without salt)",51,16.1,28.2,3,0,1.5
07030,"Egg, chicken, white (albumin), boiled (without salt)",87.2,11.2,0,1,0,0.7
07031,"Beef, high fat, w/o bones, boiled (without salt)",39.7,31.1,30.8,0,0,1.4
07032,"Beef, high fat, w/o bones, grilled (without salt and fat)",47.4,25.9,28,0,0,1.2
07033,"Beef, high fat, w/o bones, stewed (without salt)",34.7,29.1,37.6,0,0,1.4
07034,"Beef, lean, boiled (without salt)",50.3,41.9,4.6,0,0,2.4
07035,"Beef, lean, grilled (without salt and fat)",66.2,28.5,3.1,0,0,1.6
07036,"Beef, lean, stewed (without salt)",54,38.8,4.3,0,0,2.2
07037,"Beef, liver, boiled (without salt)",60.4,30.2,6.4,0,0,2
07038,"Beef, medium fat, without bones, boiled (without salt)",55.2,32.8,7.4,0,0,1.7
07039,"Beef, medium fat, without bones, grilled (without salt and fat)",61.5,27.3,7.3,0,0,1.4
07040,"Beef, medium fat, without bones, stewed (without salt)",53.6,30.7,11.3,0,0,1.6
07041,"Chicken, unspecified part, w/o bone, meat&skin, boiled (without salt)",55.7,23.7,14.6,0,0,1.2
07042,"Chicken, unspecified part, w/o bone, meat&skin, grilled (without salt and fat)",55.2,24,14.7,0,0,1.2
07043,"Goat, lean, boiled (without salt)",62,29.1,6.4,0,0,1.6
07044,"Goat, lean, grilled (without salt and fat)",63.1,28.3,6.2,0,0,1.5
07045,"Goat, liver, boiled (without salt)",61.9,30.5,6,0,0,2
07046,"Goat, medium fat, boiled (without salt)",56,27.8,9.4,0,0,1.5
07047,"Goat, medium fat, grilled (without salt and fat)",57.1,26.9,9.3,0,0,1.5
07048,"Lamb, liver, boiled (without salt)",54.5,30.8,7.8,0,0,2.3
07049,"Lamb, unspecified part, boiled (without salt)",47.2,25.4,26.9,0,0,1.5
07050,"Lamb, unspecified part, grilled (without salt and fat)",48.3,24.6,26.6,0,0,1.4
07051,"Pork, meat, unspecified part, boiled (without salt)",41.8,29.1,28.6,0,0,1.1
07052,"Pork, meat, unspecified part, grilled (without salt and fat)",44.9,27,27.6,0,0,1
