code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
04070,"Jute mallow, picked leaves, boiled, drained (without salt)",81.4,4.9,0.2,2.2,8.7,2.6
04071,"Jute mallow, picked leaves, stewed (without salt)",78.2,5.7,0.2,2.6,10.2,3.1
04072,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",90.8,3.1,0.6,0.2,3.8,1.5
04073,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",91.6,2.8,0.5,0.2,3.5,1.4
04074,"Kale (sukuma wiki), boiled, drained (without salt)",89.7,2.9,0.3,1.2,4.4,1.5
04075,"Kale (sukuma wiki), steamed (without salt)",90.6,2.6,0.3,1.1,4.1,1.4
04076,"Leeks, bulb and stem, boiled, drained (without salt)",81.4,2,0.5,11.4,3.7,1
04077,"Mushroom, fresh, boiled, drained (without salt)",85.9,3.2,0.5,6.1,3.1,1.2
04078,"Mushroom, fresh, stewed (without salt)",87.3,2.8,0.5,5.5,2.8,1.1
04079,"Mushroom, dried, boiled, drained (without salt)",49.6,7,1.6,18.5,22.4,0.8
04080,"Okra, fresh, boiled, drained (without salt)",90.5,1.8,0.2,4.1,3.4,0.6
04081,"Okra, fresh, stewed (without salt)",88.7,2.2,0.2,6.1,4,1.8
04082,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",89.5,1.3,0.2,5.6,2.6,0.8
04083,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",91.4,1.1,0.2,4.6,2.1,0.7
04084,"Pumpkin, leaves, boiled, drained (without salt)",87.9,4,0.7,2.1,2.1,3.1
04085,"Pumpkin, leaves, steamed (without salt)",89,3.7,0.6,1.9,2,2.8
04086,"Spider plant, leaves, boiled, drained (without salt)",85.7,4.6,0.7,2,4.1,2.9
04087,"Spider plant, leaves, steamed (without salt)",86.9,4.2,0.7,1.9,3.8,2.6
04088,"Spinach, leaves, boiled, drained (without salt)",89.3,2.9,0.4,1.2,4.3,1.9
04089,"Spinach, leaves, stewed (without salt)",87.4,3.5,0.4,1.4,5.1,2.2
04090,"Spinach, Swiss chard, leaves, boiled, drained (without salt)",89.8,3.3,0.2,0.8,3.8,2.1
04091,"Spinach, Swiss chard, leaves, stewed (without salt)",88,3.9,0.3,0.9,4.5,2.5
04092,"Squash, butternut, peeled, flesh, boiled, drained (without salt)",85.7,1.6,0.1,8.8,2.8,0.9
04093,"Squash, butternut, peeled, flesh, steamed (without salt)",85.7,1.6,0.1,8.8,2.8,0.9
04094,"Squash, butternut, peeled, flesh, baked (without salt)",85.1,1.7,0.1,9.2,2.9,1
04095,"Stinging nettle, leaves, boiled, drained (without salt)",81.1,5.1,0.7,6.4,2,4.7
04096,"Stinging nettle, leaves, steamed (without salt)",82.8,4.7,0.6,5.8,1.8,4.3
04097,"Tomato, green, boiled, drained (without salt)",91.3,1.4,0.3,4.2,2.1,0.8
04098,"Tomato, red, ripe, boiled, drained (without salt)",91.8,1.3,0.3,4.2,1.8,0.7
04099,"Vine (African) spinach, picked leaves, boiled, drained (without salt)",89.9,3.6,0.7,0.2,3.9,1.7
05001,"Apple, green skin, unpeeled, raw",85,0.3,0,12.2,2.4,0.2
05002,"Apple, red, unpeeled, raw",84.6,0.3,0.1,12.4,2.3,0.25
05003,"Avocado, ripe, raw",74,1.6,19.6,0,4,1.9
05004,"Banana, cavendish, raw",74.4,1.08,0.3,20.6,2.75,0.9
05005,"Baobab fruit, powderly part, dry, raw",13.1,2.3,0.4,72.2,6.8,5.2
05006,"Custard apple, peeled, raw",75,1.7,0.7,17,5.1,0.8
05007,"Date, dried",17.2,2.4,0.2,68.7,9.7,1.9
05008,"Date, raw",60.2,1.6,0.1,35.3,1.8,1
05009,"Doumpalm fruit, raw",17.6,2.8,0.7,58.3,14.8,5.9
05010,"Grapes, green, raw",80.7,0.6,0.1,16,2,0.6
05011,"Guava, pink-fleshed, raw",80.7,1.1,1.1,0.9,15.5,0.8
05012,"Jackfruit, fruit, yellow-fleshed, peeled, raw",73.2,1.4,0.2,20.5,2.8,1.9
05013,"Lemon, juice, home squeezed",87,0.6,0.2,9.5,2.5,0.25
05014,"Lemon peel, raw",81.6,1.5,0.3,5.4,10.6,0.6
05015,"Lemon, pulp, raw",89.5,0.82,0.2,6.7,2.5,0.3
05016,"Lime, juice",90.3,0.7,0.2,4.3,4.1,0.4
05017,"Lime, pulp, raw",87.1,0.7,0.2,7.4,4.1,0.6
05018,"Loquat, peeled, raw",84.6,0.62,0.2,9.5,4.51,0.7
05019,"Mango, ripe, raw",83,0.6,0.3,14,1.6,0.5
05020,"Mango, unripe, raw",86.7,0.8,0.1,8.9,3,0.6
05021,"Mulberry, raw",89.5,1.6,0.2,5.6,2.2,0.9
05022,"Orange, Juice",94.6,0.4,0.1,3.6,1.1,0.4
05023,"Orange, pulp, raw",87.6,0.9,0.2,7.5,3.1,0.7
05024,"Papaya, yellow skin, peeled, raw",89.8,0.6,0.3,6.8,2.1,0.5
05025,"Passion fruit, dark purple skin, raw",75.7,2.4,0.9,8.7,11.7,0.8
05026,"Passion Fruit, juice",75.5,0.8,0.1,22.9,0.2,0.5
05027,"Peach, yellow-fleshed, unpeeled, raw",86.7,1,0.1,9.9,1.9,0.4
